Region,Country,Source Name,Type,Bias / Lean,Language,Notes,RSS_URL
Europe,Spain,Libertad Digital,Digital,Right,Spanish,Right-wing; Federico Jiménez Losantos,https://www.libertaddigital.com/rss.xml
Europe,Spain,OKDiario,Digital,Right,Spanish,Right-wing populist,https://okdiario.com/feed
Europe,Spain,RTVE,Public Broadcaster,Center,Spanish,State broadcaster,https://www.rtve.es/api/videos/noticias/feed.rss
Europe,Spain,Ara,Newspaper / Digital,Center-Left,Catalan,Pro-independence Catalan daily,https://www.ara.cat/rss.xml
Europe,Spain,EFE,Wire Service,Center,Spanish,Fourth largest wire service globally,https://efenoticias.com/feed/
Europe,Netherlands,De Volkskrant,Newspaper / Digital,Center-Left,Dutch,Quality progressive daily,https://www.volkskrant.nl/rss.xml
Europe,Netherlands,NRC Handelsblad,Newspaper / Digital,Center,Dutch,Quality liberal daily,https://www.nrc.nl/rss/
Europe,Netherlands,De Telegraaf,Newspaper / Digital,Center-Right,Dutch,Largest Dutch daily; populist,https://www.telegraaf.nl/rss
Europe,Netherlands,Trouw,Newspaper / Digital,Center-Left,Dutch,Progressive quality daily,https://www.trouw.nl/rss.xml
Europe,Netherlands,NOS,Public Broadcaster,Center,Dutch,Dutch public broadcasting news,https://feeds.nos.nl/nosnieuwsalgemeen
Europe,Netherlands,Follow the Money,Digital,Center,Dutch,Investigative journalism platform,https://www.ftm.nl/feed
Europe,Netherlands,GeenStijl,Digital,Right,Dutch,Provocative right-wing blog,https://www.geenstijl.nl/feeds/rss/
Europe,Belgium,De Standaard,Newspaper / Digital,Center,Dutch,Quality Flemish daily,https://www.standaard.be/rss/section/3dc3a6c4-4634-4b64-9a00-3bab2c4b73e0
Europe,Belgium,De Morgen,Newspaper / Digital,Center-Left,Dutch,Progressive Flemish daily,https://www.demorgen.be/rss.xml
Europe,Belgium,Le Soir,Newspaper / Digital,Center-Left,French,Major Francophone daily,https://www.lesoir.be/arc/outboundfeeds/rss/
Europe,Belgium,La Libre Belgique,Newspaper / Digital,Center-Right,French,Catholic conservative,https://www.lalibre.be/arc/outboundfeeds/rss/
Europe,Belgium,VRT NWS,Public Broadcaster,Center,Dutch,Flemish public broadcaster,https://www.vrt.be/vrtnws/nl.rss.articles.xml
Europe,Belgium,RTBF,Public Broadcaster,Center,French,Francophone public broadcaster,https://www.rtbf.be/api/sso/v1/news/articles?rss
Europe,Belgium,Apache,Digital,Center-Left,Dutch,Investigative Flemish,https://www.apache.be/feed
Europe,Belgium,Knack,Magazine / Digital,Center,Dutch,Flemish newsweekly,https://www.knack.be/feed/
Europe,Switzerland,Neue Zürcher Zeitung (NZZ),Newspaper / Digital,Center-Right,German,Classical liberal; globally respected,https://www.nzz.ch/recent.rss
Europe,Switzerland,Tages-Anzeiger,Newspaper / Digital,Center-Left,German,Zurich-based; Tamedia,https://www.tagesanzeiger.ch/rss.html
Europe,Switzerland,Le Temps,Newspaper / Digital,Center,French,Leading Francophone Swiss,https://www.letemps.ch/rss
Europe,Switzerland,SRF / RTS / RSI,Public Broadcaster,Center,Multi,Swiss public broadcasting (3 language regions),https://www.srf.ch/news/bnf/rss/1890-LATEST
Europe,Switzerland,Blick,Newspaper / Digital,Center,German,Largest Swiss tabloid,https://www.blick.ch/news/rss.xml
Europe,Switzerland,WOZ,Newspaper,Left,German,Weekly; cooperative-owned,https://www.woz.ch/feed
Europe,Switzerland,Weltwoche,Magazine / Digital,Right,German,Right-wing; Roger Köppel,https://www.weltwoche.ch/feed/
Europe,Switzerland,Republik,Digital,Center-Left,German,Crowdfunded digital magazine,https://www.republik.ch/feed.xml
Europe,Austria,Der Standard,Newspaper / Digital,Center-Left,German,Quality daily; liberal,https://www.derstandard.at/rss
Europe,Austria,Die Presse,Newspaper / Digital,Center-Right,German,Conservative quality daily,https://www.diepresse.com/rss/home
Europe,Austria,Kronen Zeitung,Newspaper / Digital,Right,German,Largest tabloid; enormous reach,https://www.krone.at/rss/alle
Europe,Austria,ORF,Public Broadcaster,Center,German,Austrian public broadcaster,https://rss.orf.at/news.xml
Europe,Austria,Profil,Magazine / Digital,Center-Left,German,Newsweekly; investigative,https://www.profil.at/rss/
Europe,Austria,Falter,Magazine / Digital,Center-Left,German,Vienna city magazine; investigative,https://www.falter.at/rss
Europe,Austria,eXXpress,Digital,Right,German,Right-wing digital; FPÖ-sympathetic,https://www.exxpress.at/feed
Europe,Portugal,Público,Newspaper / Digital,Center-Left,Portuguese,Quality reference daily,https://www.publico.pt/api/rss
Europe,Portugal,Diário de Notícias,Newspaper / Digital,Center,Portuguese,Historic daily,https://www.dn.pt/rss/
Europe,Portugal,Expresso,Newspaper / Digital,Center,Portuguese,Leading weekly,https://expresso.pt/rss
Europe,Portugal,Observador,Digital,Center-Right,Portuguese,Digital native; liberal-conservative,https://observador.pt/feed/
Europe,Portugal,RTP,Public Broadcaster,Center,Portuguese,State broadcaster,https://www.rtp.pt/noticias/rss.php
Europe,Portugal,Jornal de Notícias,Newspaper / Digital,Center,Portuguese,Porto-based popular daily,https://www.jn.pt/rss/
Europe,Portugal,Lusa,Wire Service,Center,Portuguese,Portuguese news agency,https://www.lusa.pt/rss.xml
Europe,Ireland,The Irish Times,Newspaper / Digital,Center-Left,English,Paper of record; trust-owned,https://www.irishtimes.com/cmlink/news-rss-1.1319291
Europe,Ireland,Irish Independent,Newspaper / Digital,Center-Right,English,Largest circulation; Mediahuis,https://www.independent.ie/rss/
Europe,Ireland,RTÉ,Public Broadcaster,Center,English / Irish,State broadcaster,https://www.rte.ie/rss/news.xml
Europe,Ireland,The Journal.ie,Digital,Center,English,Digital native news,https://www.thejournal.ie/feed/
Europe,Ireland,TheJournal FactCheck,Digital,Center,English,Fact-checking arm,https://www.thejournal.ie/feed
Europe,Ireland,Gript,Digital,Right,English,Right-wing; anti-immigration,https://gript.ie/feed/
Europe,Sweden,Dagens Nyheter,Newspaper / Digital,Center-Left,Swedish,Quality liberal daily,https://www.dn.se/rss/
Europe,Sweden,Svenska Dagbladet (SvD),Newspaper / Digital,Center-Right,Swedish,Conservative broadsheet,https://www.svd.se/?service=rss
Europe,Sweden,Aftonbladet,Newspaper / Digital,Center-Left,Swedish,Largest tabloid; LO-connected,https://rss.aftonbladet.se/rss2/small/pages/sections/senastenytt/
Europe,Sweden,Expressen,Newspaper / Digital,Center,Swedish,Liberal tabloid,https://www.expressen.se/rss
Europe,Sweden,SVT Nyheter,Public Broadcaster,Center,Swedish,Swedish public TV news,https://www.svt.se/nyheter/rss.xml
Europe,Sweden,Sveriges Radio (SR),Public Radio,Center,Swedish,Public radio,https://sverigesradio.se/rss/artikel/
Europe,Sweden,Göteborgs-Posten,Newspaper / Digital,Center,Swedish,Major regional,https://www.gp.se/feeds/rss/
Europe,Sweden,ETC,Newspaper / Digital,Left,Swedish,Cooperative-owned left daily,https://www.etc.se/feed
Europe,Sweden,Nya Tider,Newspaper / Digital,Far Right,Swedish,Nationalist,https://www.nyatider.nu/feed
Europe,Sweden,Filter,Magazine / Digital,Center,Swedish,Investigative,https://filtermag.se/feed/
Europe,Norway,Aftenposten,Newspaper / Digital,Center,Norwegian,Largest subscription daily,https://www.aftenposten.no/rss
Europe,Norway,VG (Verdens Gang),Newspaper / Digital,Center,Norwegian,Largest tabloid,https://www.vg.no/rss/feed/forsiden/
Europe,Norway,Dagbladet,Newspaper / Digital,Center-Left,Norwegian,Radical liberal tabloid,https://www.dagbladet.no/rss/
Europe,Norway,NRK,Public Broadcaster,Center,Norwegian,Norwegian Broadcasting Corp,https://www.nrk.no/toppsaker.rss
Europe,Norway,Klassekampen,Newspaper / Digital,Left,Norwegian,Left-wing daily,https://www.klassekampen.no/feed/
Europe,Norway,Nettavisen,Digital,Center-Right,Norwegian,Digital tabloid,https://www.nettavisen.no/rss.xml
Europe,Norway,Morgenbladet,Newspaper / Digital,Center-Left,Norwegian,Weekly; intellectual,https://www.morgenbladet.no/feed/
Europe,Denmark,Politiken,Newspaper / Digital,Center-Left,Danish,Cultural radical daily,https://politiken.dk/rss/senestenyheder.rss
Europe,Denmark,Berlingske,Newspaper / Digital,Center-Right,Danish,Conservative broadsheet,https://www.berlingske.dk/rss/
Europe,Denmark,Jyllands-Posten,Newspaper / Digital,Center-Right,Danish,Largest daily; Muhammad cartoons,https://jyllands-posten.dk/feed/
Europe,Denmark,DR (Danmarks Radio),Public Broadcaster,Center,Danish,Danish public broadcaster,https://www.dr.dk/nyheder/service/feeds/allenyheder
Europe,Denmark,Information,Newspaper / Digital,Left,Danish,Intellectual left daily,https://www.information.dk/rss
Europe,Denmark,Ekstra Bladet,Newspaper / Digital,Center,Danish,Populist tabloid,https://ekstrabladet.dk/rss/
Europe,Denmark,Zetland,Digital,Center-Left,Danish,Digital; constructive journalism,https://www.zetland.dk/rss
Europe,Finland,Helsingin Sanomat,Newspaper / Digital,Center,Finnish,Largest Nordic daily,https://www.hs.fi/rss/tuoreimmat.xml
Europe,Finland,Ilta-Sanomat,Newspaper / Digital,Center,Finnish,Tabloid,https://www.is.fi/rss
Europe,Finland,Iltalehti,Newspaper / Digital,Center,Finnish,Second tabloid,https://www.iltalehti.fi/rss.xml
Europe,Finland,Yle,Public Broadcaster,Center,Finnish / Swedish,Finnish Broadcasting Company,https://feeds.yle.fi/uutiset/v1/recent.rss?publisherIds=YLE_UUTISET
Europe,Finland,Hufvudstadsbladet,Newspaper / Digital,Center,Swedish,Swedish-language Finnish daily,https://www.hbl.fi/feeds/feed.xml
Europe,Finland,Long Play,Digital,Center-Left,Finnish,Investigative longform,https://www.longplay.fi/feed.xml
Europe,Iceland,Morgunblaðið,Newspaper / Digital,Center-Right,Icelandic,Largest daily,https://www.mbl.is/feeds/rss/forsida/
Europe,Iceland,RÚV,Public Broadcaster,Center,Icelandic,National Broadcasting Service,https://www.ruv.is/rss/
Europe,Iceland,Stundin,Digital,Center-Left,Icelandic,Investigative outlet,https://stundin.is/feed/
Europe,Poland,Gazeta Wyborcza,Newspaper / Digital,Center-Left,Polish,Founded by Michnik; Agora SA,https://rss.gazeta.pl/pub/rss/wyborcza_kraj.xml
Europe,Poland,Rzeczpospolita,Newspaper / Digital,Center-Right,Polish,Quality broadsheet; legal focus,https://www.rp.pl/rss/
Europe,Poland,TVN24,TV / Digital,Center-Left,Polish,Warner Bros. Discovery Poland,https://tvn24.pl/najnowsze.xml
Europe,Poland,TVP (Telewizja Polska),Public Broadcaster,Varies,Polish,State TV; bias shifts with government,https://tvp.info/feed
Europe,Poland,Newsweek Polska,Magazine / Digital,Center-Left,Polish,Newsweek license,https://www.newsweek.pl/rss.xml
Europe,Poland,Do Rzeczy,Magazine / Digital,Right,Polish,Conservative weekly,https://dorzeczy.pl/feed
Europe,Poland,wSieci / wPolityce,Magazine / Digital,Right,Polish,PiS-aligned conservative,https://wpolityce.pl/feed
Europe,Poland,OKO.press,Digital,Center-Left,Polish,Fact-checking / investigative,https://oko.press/feed/
Europe,Poland,Onet,Digital,Center,Polish,Major portal,https://wiadomosci.onet.pl/.feed
Europe,Poland,Krytyka Polityczna,Magazine / Digital,Left,Polish,Left-wing intellectual,https://krytykapolityczna.pl/feed/
Europe,Czech Republic,Hospodářské noviny,Newspaper / Digital,Center,Czech,Business daily,https://archiv.hn.cz/rss/
Europe,Czech Republic,Deník N,Digital,Center-Left,Czech,Quality subscription digital,https://denikn.cz/feed/
Europe,Czech Republic,Respekt,Magazine / Digital,Center-Left,Czech,Quality weekly,https://www.respekt.cz/rss
Europe,Czech Republic,iDNES.cz,Digital,Center-Right,Czech,Major portal; Babiš-owned MAFRA,https://www.idnes.cz/rss/
Europe,Czech Republic,Aktuálně.cz,Digital,Center,Czech,Economia-owned,https://aktualne.cz/rss
Europe,Czech Republic,Parlamentní listy,Digital,Far Right,Czech,Disinformation-adjacent aggregator,https://www.parlamentnilisty.cz/rss/
Europe,Czech Republic,Česká televize (ČT),Public Broadcaster,Center,Czech,Czech Television,https://ct24.ceskatelevize.cz/rss
Europe,Hungary,Telex,Digital,Center-Left,Hungarian,Independent; est. 2020 from Index exodus,https://telex.hu/rss
Europe,Hungary,444.hu,Digital,Center-Left,Hungarian,Independent digital,https://444.hu/feed
Europe,Hungary,HVG,Magazine / Digital,Center,Hungarian,Economics weekly,https://hvg.hu/rss
Europe,Hungary,Index.hu,Digital,Varies,Hungarian,Major portal; ownership changed 2020,https://index.hu/24ora/rss/
Europe,Hungary,Magyar Nemzet,Newspaper / Digital,Right,Hungarian,Pro-Orbán; KESMA foundation,https://magyarnemzet.hu/publicapi/hu/rss/magyar_nemzet/articles
Europe,Hungary,Origo.hu,Digital,Right,Hungarian,Formerly independent; now pro-govt,https://www.origo.hu/contentpartner/rss/itthon/origo.xml
Europe,Hungary,MTI,Wire Service,State-Controlled,Hungarian,State news agency; govt-controlled,
Europe,Hungary,Átlátszó,Digital (Nonprofit),Center,Hungarian,Anti-corruption investigative,https://atlatszo.hu/feed/
Europe,Hungary,Direkt36,Digital (Nonprofit),Center-Left,Hungarian,Investigative journalism,https://www.direkt36.hu/feed/
Europe,Romania,Libertatea,Newspaper / Digital,Center,Romanian,Tabloid; improved quality,https://www.libertatea.ro/rss
Europe,Romania,Digi24,TV / Digital,Center,Romanian,RCS&RDS; 24hr news,https://www.digi24.ro/rss
Europe,Romania,Recorder,Digital,Center,Romanian,Video investigative journalism,https://recorder.ro/feed/
Europe,Romania,HotNews.ro,Digital,Center,Romanian,Quality online news,https://www.hotnews.ro/rss/
Europe,Romania,România Liberă,Newspaper / Digital,Center-Right,Romanian,Historic daily,https://romanialibera.ro/feed
Europe,Romania,Rise Project,Digital (Nonprofit),Center,Romanian,Investigative nonprofit,https://www.riseproject.ro/feed
Europe,Romania,G4Media,Digital,Center-Left,Romanian,Quality digital outlet,https://www.g4media.ro/feed
Europe,Bulgaria,Capital,Newspaper / Digital,Center,Bulgarian,Business weekly,
Europe,Bulgaria,Dnevnik,Newspaper / Digital,Center,Bulgarian,Quality daily,
Europe,Bulgaria,Mediapool,Digital,Center-Left,Bulgarian,Independent online,https://www.mediapool.bg/rss
Europe,Bulgaria,Bivol,Digital,Center-Left,Bulgarian,Investigative; anti-corruption,https://bivol.bg/feed
Europe,Bulgaria,BNT,Public Broadcaster,Center,Bulgarian,Bulgarian National Television,https://bnt.bg/rss/news
Europe,Slovakia,Denník N,Digital,Center-Left,Slovak,Quality subscription daily,https://dennikn.sk/feed/
Europe,Slovakia,SME,Newspaper / Digital,Center,Slovak,Major quality daily,https://www.sme.sk/rss
Europe,Slovakia,Aktuality.sk,Digital,Center,Slovak,Major news portal,https://www.aktuality.sk/rss/
Europe,Slovakia,RTVS,Public Broadcaster,Center,Slovak,Slovak Radio and Television,https://www.rtvs.sk/rss/spravy
Europe,Slovakia,Hlavné správy,Digital,Far Right,Slovak,Pro-Russian disinformation flagged,https://www.hlavnespravy.sk/feed
Europe,Croatia,Jutarnji list,Newspaper / Digital,Center-Left,Croatian,Major daily,https://www.jutarnji.hr/feed
Europe,Croatia,Večernji list,Newspaper / Digital,Center-Right,Croatian,Conservative daily,https://www.vecernji.hr/feeds/latest
Europe,Croatia,Index.hr,Digital,Center,Croatian,Largest digital outlet,https://www.index.hr/rss
Europe,Croatia,HRT,Public Broadcaster,Center,Croatian,Croatian Radio-Television,https://vijesti.hrt.hr/feed/rss
Europe,Croatia,Telegram.hr,Digital,Center-Left,Croatian,Quality digital,https://www.telegram.hr/feed/
Europe,Serbia,N1,TV / Digital,Center,Serbian,CNN affiliate; independent,https://n1info.com/feed/
Europe,Serbia,Danas,Newspaper / Digital,Center-Left,Serbian,Opposition daily,https://www.danas.rs/feed/
Europe,Serbia,BIRN Serbia,Digital (Nonprofit),Center,Serbian,Balkan Investigative Reporting Network,https://birn.eu.com/feed/
Europe,Serbia,Informer,Newspaper / Digital,Right,Serbian,Pro-Vučić tabloid,https://www.informer.rs/rss
Europe,Serbia,RTS,Public Broadcaster,State-Controlled,Serbian,Under govt influence,https://www.rts.rs/rss/
Europe,Serbia,KRIK,Digital (Nonprofit),Center,Serbian,Crime/corruption investigative,https://www.krik.rs/feed/
Europe,Slovenia,Delo,Newspaper / Digital,Center-Left,Slovenian,Largest daily,https://www.delo.si/feed/
Europe,Slovenia,Dnevnik,Newspaper / Digital,Center,Slovenian,Quality daily,
Europe,Slovenia,RTV Slovenija,Public Broadcaster,Center,Slovenian,Public broadcaster,https://www.rtvslo.si/feed/rss
Europe,Slovenia,Nova24TV,Digital / TV,Right,Slovenian,SDS/Janša-aligned; Hungarian funding,https://nova24tv.si/feed
Europe,Slovenia,Pod črto,Digital,Center-Left,Slovenian,Fact-checking / investigative,https://pod-crto.si/feed/
Europe,Bosnia & Herzegovina,Dnevni Avaz,Newspaper / Digital,Center,Bosnian,Largest daily,https://avaz.ba/rss
Europe,Bosnia & Herzegovina,Oslobođenje,Newspaper / Digital,Center-Left,Bosnian,Historic multiethnic daily,https://www.oslobodjenje.ba/rss.xml
Europe,Bosnia & Herzegovina,Al Jazeera Balkans,TV / Digital,Center,Bosnian/Croatian/Serbian,Regional Al Jazeera hub,https://balkans.aljazeera.net/feed/
Europe,Bosnia & Herzegovina,CIN (Center for Investigative Reporting),Digital (Nonprofit),Center,Bosnian,Investigative journalism,https://cin.ba/feed/
Europe,North Macedonia,Meta.mk,Digital,Center,Macedonian,Media fact-checking and analysis,https://meta.mk/feed/
Europe,North Macedonia,MIA,Wire Service,Center,Macedonian,National news agency,https://mia.mk/rss/
Europe,North Macedonia,Prizma,Digital,Center-Left,Macedonian,Investigative,https://prizma.mk/feed/
Europe,Montenegro,Vijesti,Newspaper / Digital,Center,Montenegrin,Largest independent daily,https://www.vijesti.me/rss
Europe,Montenegro,Dan,Newspaper / Digital,Center-Right,Montenegrin,Opposition daily,https://www.dan.co.me/rss
Europe,Albania,Reporter.al,Digital,Center,Albanian,BIRN Albania investigative,https://www.reporter.al/feed
Europe,Albania,Balkanweb,Digital,Center,Albanian,Major news portal,https://www.balkanweb.com/feed/
Europe,Albania,RTSH,Public Broadcaster,State-Controlled,Albanian,State broadcaster,https://www.rtsh.al/feed
Europe,Albania,Exit.al,Digital,Center,Albanian / English,Independent English-language,https://exit.al/en/feed/
Europe,Kosovo,Koha Ditore,Newspaper / Digital,Center,Albanian,Major daily,https://www.koha.net/rss
Europe,Kosovo,Kallxo.com,Digital,Center,Albanian,BIRN Kosovo; anti-corruption,https://kallxo.com/feed/
Europe,Kosovo,RTK,Public Broadcaster,Center,Albanian,Public broadcaster,https://www.rtklive.com/sq/feed/
Europe,Greece,Kathimerini,Newspaper / Digital,Center-Right,Greek,Quality broadsheet,https://www.kathimerini.gr/rss/
Europe,Greece,Ta Nea,Newspaper / Digital,Center-Left,Greek,Major daily,https://www.tanea.gr/feed/
Europe,Greece,Efimerida ton Syntakton,Newspaper / Digital,Left,Greek,Cooperative journalists' paper,https://www.efsyn.gr/rss
Europe,Greece,ERT,Public Broadcaster,Center,Greek,Greek public broadcaster,https://www.ert.gr/feed/
Europe,Greece,Proto Thema,Newspaper / Digital,Center-Right,Greek,Largest Sunday paper,https://www.protothema.gr/rss
Europe,Greece,Inside Story,Digital,Center-Left,Greek,Investigative digital,https://pcr.apple.com/id1336513408
Europe,Greece,Documento,Newspaper / Digital,Left,Greek,SYRIZA-adjacent,https://www.documento.gr/feed/
Europe,Cyprus,Phileleftheros,Newspaper / Digital,Center,Greek,Largest Greek-Cypriot daily,https://www.philenews.com/feed
Europe,Cyprus,CyBC,Public Broadcaster,Center,Greek,Cyprus Broadcasting Corp,https://www.cybc.com.cy/rss
Europe,Malta,Times of Malta,Newspaper / Digital,Center,English,Leading daily,https://timesofmalta.com/?feed=rss2
Europe,Malta,The Shift News,Digital,Center,English,Investigative; Daphne legacy,https://theshiftnews.com/home/feed/
Europe,Malta,MaltaToday,Newspaper / Digital,Center,English,Second daily,https://www.maltatoday.com.mt/rss.xml
Europe,Estonia,Postimees,Newspaper / Digital,Center,Estonian,Largest daily,https://www.postimees.ee/rss
Europe,Estonia,Delfi Estonia,Digital,Center,Estonian,Major portal,https://www.delfi.ee/rss/uudised/
Europe,Estonia,ERR,Public Broadcaster,Center,Estonian,Estonian Public Broadcasting,https://www.err.ee/rss
Europe,Estonia,Eesti Päevaleht,Newspaper / Digital,Center-Left,Estonian,Quality daily,https://epl.delfi.ee/rss/
Europe,Latvia,Delfi Latvia,Digital,Center,Latvian,Major portal,https://www.delfi.lv/rss
Europe,Latvia,LSM (Latvian Public Media),Public Broadcaster,Center,Latvian,Public media,https://www.lsm.lv/rss/
Europe,Latvia,IR,Magazine / Digital,Center,Latvian,Quality newsweekly,https://ir.lv/rss
Europe,Latvia,Re:Baltica,Digital (Nonprofit),Center,Latvian / English,Investigative journalism,https://rebaltica.lv/feed/
Europe,Lithuania,Delfi Lithuania,Digital,Center,Lithuanian,Major portal,https://www.delfi.lt/rss
Europe,Lithuania,15min.lt,Digital,Center,Lithuanian,Leading news portal,https://www.15min.lt/rss
Europe,Lithuania,LRT,Public Broadcaster,Center,Lithuanian,Lithuanian Radio and Television,https://www.lrt.lt/rss.xml
Europe,Lithuania,Siena,Digital,Center-Left,Lithuanian,Investigative,https://siena.lt/feed/
Europe,Ukraine,Ukrainska Pravda,Digital,Center,Ukrainian,Leading digital; founded by Gongadze,https://www.pravda.com.ua/eng/rss/
Europe,Ukraine,Hromadske,TV / Digital,Center-Left,Ukrainian,Independent public interest,https://hromadske.ua/rss
Europe,Ukraine,NV (Novoye Vremya),Magazine / Digital,Center,Ukrainian,Quality newsmagazine,https://nv.ua/rss/all.xml
Europe,Ukraine,Kyiv Independent,Digital,Center,English,English-language; from Kyiv Post staff,https://kyivindependent.com/feed/
Europe,Ukraine,UNIAN,Wire Service,Center,Ukrainian,Independent news agency,https://www.unian.info/rss/all.rss
Europe,Ukraine,Babel,Digital,Center-Left,Ukrainian,Independent media,https://babel.ua/rss.xml
Europe,Ukraine,ZN.UA (Dzerkalo Tyzhnia),Newspaper / Digital,Center,Ukrainian,Quality weekly,https://zn.ua/ukr/rss/full/
Europe,Ukraine,Suspilne,Public Broadcaster,Center,Ukrainian,Ukrainian Public Broadcasting,https://suspilne.media/rss
Europe,Moldova,ZdG (Ziarul de Gardă),Digital,Center,Romanian,Investigative journalism,https://www.zdg.md/feed
Europe,Moldova,NewsMaker,Digital,Center,Russian / Romanian,Quality bilingual outlet,https://newsmaker.md/ru/feed
Europe,Moldova,TV8,TV / Digital,Center,Romanian / Russian,Independent TV,https://tv8.md/feed
Europe,Georgia,Civil.ge,Digital,Center,English / Georgian,English-language; civil society,https://civil.ge/feed
Europe,Georgia,Mtavari Arkhi,TV / Digital,Center-Left,Georgian,Opposition TV channel,https://mtavari.tv/feed
Europe,Georgia,On.ge,Digital,Center,Georgian,Quality digital outlet,https://on.ge/rss
Europe,Georgia,Imedi TV,TV,Right,Georgian,Pro-Georgian Dream ruling party,https://imedi.ge/feed
Europe,Georgia,GPB (Georgian Public Broadcasting),Public Broadcaster,Center,Georgian,State broadcaster,https://1tv.ge/rss/
Europe,Armenia,Civilnet,Digital,Center,Armenian / English,Independent media; CivilNet.am,https://www.civilnet.am/feed/
Europe,Armenia,Hetq,Digital,Center,Armenian,Investigative journalism,https://hetq.am/hy/rss
Europe,Armenia,Armenian Public TV,Public Broadcaster,Center,Armenian,State broadcaster,https://www.1tv.am/rss
Europe,Azerbaijan,Meydan TV,Digital,Center,Azerbaijani,Berlin-based independent; critical,https://www.meydan.tv/az/feed/
Europe,Azerbaijan,OCCRP (Azerbaijani coverage),Digital (Nonprofit),Center,English,Cross-border investigative,https://www.occrp.org/en/feed
Europe,Azerbaijan,APA,Wire Service,State-Controlled,Azerbaijani,State news agency,
Europe,Azerbaijan,AzTV,Public Broadcaster,State-Controlled,Azerbaijani,State-controlled broadcaster,
Europe,Belarus,Nasha Niva,Digital,Center-Left,Belarusian,Independent; editors imprisoned,https://nashaniva.com/feed
Europe,Belarus,NEXTA,Digital (Telegram),Center,Belarusian / Russian,Telegram channel; exile media,https://nexta.tv/?format=feed&type=rss
Europe,Belarus,BelTA,Wire Service,State-Controlled,Belarusian / Russian,State news agency,https://belta.by/rss
Europe,Belarus,Zerkalo.io,Digital,Center,Russian,Exile successor to TUT.by,https://news.zerkalo.io/rss/index.rss
Europe,Russia,TASS,Wire Service,State-Controlled,Russian,State wire service,https://tass.com/rss/v2.xml
Europe,Russia,RIA Novosti,Wire Service,State-Controlled,Russian,State media,https://ria.ru/export/rss2/archive/index.xml
Europe,Russia,RT (Russia Today),TV / Digital,State-Controlled,Russian / Multi,International propaganda arm,https://www.rt.com/rss/
Europe,Russia,Channel One / Perviy Kanal,TV,State-Controlled,Russian,Main state TV channel,https://www.1tv.ru/rss/
Europe,Russia,Novaya Gazeta,Newspaper / Digital,Center-Left,Russian,Independent (suspended 2022); Muratov Nobel laureate,https://novayagazeta.ru/rss/all.xml
Europe,Russia,Meduza,Digital,Center,Russian / English,"Riga-based exile media; designated ""undesirable""",https://meduza.io/rss/all
Europe,Russia,The Moscow Times,Digital,Center,English,English-language; moved abroad,https://www.themoscowtimes.com/rss/news
Europe,Russia,Mediazona,Digital,Center-Left,Russian,Human rights / prison coverage; Pussy Riot-founded,https://zona.media/rss
Europe,Russia,iStories (Важные истории),Digital,Center,Russian,Investigative; exile-based,https://istories.media/feed/
Europe,Russia,Kommersant,Newspaper / Digital,Center-Right,Russian,Business daily; Usmanov-owned,https://www.kommersant.ru/RSS/news.xml
Europe,Russia,Vedomosti,Newspaper / Digital,Center,Russian,Business daily (editorial independence eroded),https://www.vedomosti.ru/rss/news
Europe,Russia,Interfax,Wire Service,Center,Russian,Semi-independent wire service,https://www.interfax.ru/rss.asp
Asia,China,Xinhua,Wire Service,State-Controlled,Chinese / Multi,State news agency; global reach,https://www.xinhuanet.com/english/rss/worldrss.xml
Asia,China,People's Daily,Newspaper / Digital,State-Controlled,Chinese,CCP official organ,http://en.people.cn/rss/politics_rss.xml
Asia,China,CGTN,TV / Digital,State-Controlled,Chinese / Multi,International state TV,https://www.cgtn.com/subscribe/feeds/rss2.0.xml
Asia,China,Global Times,Newspaper / Digital,State-Controlled,Chinese / English,Nationalist tabloid; People's Daily subsidiary,https://www.globaltimes.cn/rss/outbrain.xml
Asia,China,CCTV,TV,State-Controlled,Chinese,Central state television,https://english.cctv.com/feed
Asia,China,Caixin,Magazine / Digital,Center,Chinese / English,Business; relatively independent investigative,https://www.caixinglobal.com/rss/rss.xml
Asia,China,The Paper (Pengpai),Digital,Center,Chinese,State-linked but quality journalism,https://www.thepaper.cn/rss_promotion.jsp
Asia,China,South China Morning Post,Newspaper / Digital,Center,English,HK-based; Alibaba-owned; significant self-censorship,https://www.scmp.com/rss/91/feed
Asia,China,China Daily,Newspaper / Digital,State-Controlled,English,English-language state media,https://www.chinadaily.com.cn/?feed=rss2
Asia,Hong Kong,Hong Kong Free Press,Digital,Center,English,Independent; nonprofit,https://hongkongfp.com/feed/
Asia,Hong Kong,The Standard,Newspaper / Digital,Center,English,Free English daily,
Asia,Hong Kong,RTHK,Public Broadcaster,Center,Cantonese / English,Public broadcaster; editorial independence eroded post-2020,https://news.rthk.hk/rthk/en/rss/
Asia,Hong Kong,Ming Pao,Newspaper / Digital,Center,Chinese,Quality broadsheet,https://www.mingpao.com/rss/mingpaonews.xml
Asia,Hong Kong,Stand News (shuttered 2021),Digital,Center-Left,Chinese,Closed under national security law,
Asia,Taiwan,Liberty Times,Newspaper / Digital,Center-Left,Chinese,Pro-DPP; largest daily,https://www.ltn.com.tw/rss/news.xml
Asia,Taiwan,United Daily News,Newspaper / Digital,Center-Right,Chinese,Pro-KMT,https://udn.com/rssfeed/news/2/LANG/1/RSS.XML
